# x,y,z
-2.4893398589,6.6097348033,-14.9965687555
-2.1411010078,6.1868500930,-14.8963158913
-1.8219033814,5.8236525604,-14.7855454593
-1.5283707970,5.5150241014,-14.6664018026
-1.2574488444,5.2564056347,-14.5405928742
-1.0063713927,5.0437524946,-14.4094718484
-0.7726299419,4.8734912348,-14.2741030418
-0.5539458231,4.7424788654,-14.1353148406
-0.3482451148,4.6479649818,-13.9937416293
-0.1536359118,4.5875568236,-13.8498573353
0.0316122385,4.5591873163,-13.7040021266
0.2090868186,4.5610861124,-13.5564030539
0.3802490663,4.5917533663,-13.4071901963
0.5464490591,4.6499361202,-13.2564089757
0.7089393154,4.7346071048,-13.1040292202
0.8688871045,4.8449456890,-12.9499517249
1.0273855397,4.9803208345,-12.7940124694
1.1854636152,5.1402758006,-12.6359849810
1.3440952786,5.3245144065,-12.4755810367
1.5042076369,5.5328886518,-12.3124499044
1.6666883784,5.7653874967,-12.1461762619
1.8323924886,6.0221266000,-11.9762768988
2.0021482852,6.3033389229,-11.8021962227
2.1767629343,6.6093657178,-11.6233007488
2.3570273234,6.9406481367,-11.4388723827
2.5437204652,7.2977189112,-11.2481006824
2.7376133733,7.6811940768,-11.0500739540
2.9394724939,8.0917643822,-10.8437693016
3.1500626363,8.5301862675,-10.6280414859
3.3701494129,8.9972720829,-10.4016106316
3.6005011968,9.4938792494,-10.1630487632
3.8418905474,10.0208980675,-9.9107651574
4.0950950618,10.5792377870,-9.6429905398
4.3608976119,11.1698105409,-9.3577601796
4.6400858925,11.7935127092,-9.0528959580
4.9334512003,12.4512032020,-8.7259875616
5.2417863289,13.1436780934,-8.3743730387
5.5658824819,13.8716410494,-7.9951189813
5.9065250500,14.6356688613,-7.5850007699
6.2644880878,15.4361713781,-7.1404834797
6.6405273214,16.2733451472,-6.6577041208
7.0353714751,17.1471199929,-6.1324561549
7.4497116883,18.0570977916,-5.5601775118
7.8841887807,19.0024828034,-4.9359435985
8.3393781157,19.9820029814,-4.2544669687
8.8157717816,20.9938218456,-3.5101059168
9.3137578261,22.0354409176,-2.6968846601
9.8335963032,23.1035929833,-1.8085278899
10.3753919031,24.1941271120,-0.8385133366
10.9390630100,25.3018868339,0.2198542947
11.5243070985,26.4205845396,1.3733431128
12.1305625576,27.5426753422,2.6286642232
12.7569671238,28.6592359886,3.9923073782
13.4023134193,29.7598555013,5.4703387399
14.0650023081,30.8325463315,7.0681576140
14.7429951755,31.8636866948,8.7902107111
15.4337666366,32.8380067436,10.6396646022
16.1342596897,33.7386329150,12.6180402090
16.8408457069,34.5472056062,14.7248165118
17.5492923501,35.2440861173,16.9570162216
18.2547428425,35.8086672594,19.3087911477
18.9517105421,36.2197995462,21.7710316604
19.6340927528,36.4563388456,24.3310294194
20.2952078989,36.4978150572,26.9722288882
20.9278596995,36.3252104454,29.6741058201
21.5244311333,35.9218241298,32.4122112086
22.0770097261,35.2741857006,35.1584157977
22.5775439134,34.3729672738,37.8813816123
23.0180279851,33.2138314996,40.5472731549
23.3907106203,31.7981453496,43.1207021311
23.6883193966,30.1334879699,45.5658771148
23.9042912511,28.2338873348,47.8479056955
24.0329969736,26.1197356459,49.9341744805
24.0699467554,23.8173569122,51.7957153441
24.0119638574,21.3582298763,53.4084578295
23.8573147303,18.7779019828,54.7542699584
23.6057864028,16.1146610355,55.8217037080
23.2587054421,13.4080560282,56.6063859352
22.8188969365,10.6973735508,57.1110275943
22.2905862631,8.0201788848,57.3450592097
21.6792504486,5.4110215136,57.3239341919
20.9914292385,2.9003833095,57.0681692356
20.2345079151,0.5139225193,56.6022067038
19.4164853011,-1.7279664744,55.9531939410
18.5457397321,-3.8102851500,55.1497678638
17.6308046040,-5.7232868315,54.2209215668
16.6801630287,-7.4621061471,53.1950115026
15.7020685458,-9.0262210181,52.0989425260
